23	33	616	359	6	
50	60	44	306	6	
61	94	2	28	5	
69	95	2	30	5	
76	96	5	33	5	
65	310	19	19	2	
115	66	45	296	6	
125	153	27	23	4	
125	189	29	28	4	
129	228	25	31	4	
178	72	36	109	6	
189	100	16	16	4	
189	121	18	16	4	
187	145	20	14	4	
223	75	41	110	6	
235	98	19	17	4	
234	121	22	19	4	
235	154	17	14	2	
273	79	36	108	6	
286	107	18	16	4	
285	126	19	22	4	
287	158	15	14	2	
323	77	34	114	6	
331	103	21	16	4	
331	125	21	22	4	
331	154	21	17	4	
370	79	38	119	6	
380	104	20	19	4	
378	133	22	22	4	
379	166	19	23	7	
419	77	37	111	6	
427	103	21	16	4	
427	125	21	22	4	
427	154	21	17	4	
424	252	34	111	6	
432	278	21	16	4	
432	300	21	22	4	
432	329	21	17	4	
485	88	35	112	6	
494	106	20	18	4	
495	133	17	19	4	
496	161	16	23	7	
533	89	33	115	6	
540	110	20	17	4	
541	134	19	21	4	
540	163	20	25	7	
579	88	36	109	6	
590	116	16	16	4	
590	137	18	16	4	
588	161	20	14	4	
