14	31	688	417	6	
25	45	5	48	5	
60	106	113	205	6	
91	182	42	56	3	
214	126	38	211	6	
222	190	21	19	4	
227	231	19	19	4	
227	258	21	28	4	
266	73	41	327	6	
277	176	21	21	4	
277	222	21	22	4	
277	261	22	22	4	
388	84	66	287	6	
412	169	29	27	4	
411	212	30	28	4	
413	250	28	27	4	
485	78	49	59	6	
500	91	21	24	3	
475	162	59	208	6	
500	203	24	24	4	
498	254	25	27	4	
495	305	24	27	4	
564	119	38	211	6	
572	183	21	19	4	
577	224	19	19	4	
577	251	21	28	4	
623	93	50	272	6	
640	172	27	26	4	
641	219	25	23	4	
638	264	29	26	4	
