22	24	704	474	6	
46	51	49	62	6	
66	72	17	17	2	
142	116	38	211	6	
150	180	21	19	4	
155	221	19	19	4	
155	248	21	28	4	
205	68	56	358	6	
221	177	31	31	4	
225	235	27	27	4	
225	287	27	25	4	
281	67	48	104	6	
295	87	22	20	4	
298	117	19	18	4	
298	138	22	21	4	
287	341	42	99	6	
303	365	19	19	4	
300	387	20	19	4	
297	411	21	20	4	
350	76	291	385	6	
385	108	132	314	6	
423	132	64	73	6	
435	152	24	32	3	
406	242	42	149	6	
419	268	21	21	4	
416	303	22	20	4	
417	332	22	23	4	
455	246	42	146	6	
468	272	21	21	4	
465	307	22	20	4	
466	336	22	23	4	
539	223	68	38	8	
655	72	39	328	6	
665	218	18	19	2	
