23	39	672	441	6	
61	77	54	347	6	
79	132	3	26	5	
88	134	4	28	5	
98	136	4	34	5	
75	339	29	30	2	
136	196	53	70	6	
151	218	21	28	3	
196	174	36	121	6	
209	203	19	16	4	
210	227	16	16	4	
206	254	22	22	4	
245	176	34	122	6	
254	210	17	16	4	
255	235	16	16	4	
253	258	18	17	4	
295	79	48	41	6	
311	93	15	19	3	
296	158	42	246	6	
308	227	23	25	4	
309	270	22	18	4	
306	302	25	27	4	
362	86	39	43	6	
371	97	18	24	3	
356	161	46	243	6	
370	230	24	21	4	
369	259	27	24	4	
367	289	25	25	4	
418	87	40	43	6	
430	101	18	23	3	
418	160	40	246	6	
430	229	23	25	4	
431	272	22	18	4	
428	304	25	27	4	
479	86	40	43	6	
493	101	14	22	3	
479	173	40	225	6	
492	241	23	17	4	
493	275	22	25	4	
492	315	22	26	4	
533	91	39	44	6	
545	107	16	20	3	
532	166	40	246	6	
544	235	23	25	4	
545	278	22	18	4	
542	310	25	27	4	
597	90	40	43	6	
609	104	18	23	3	
589	168	47	243	6	
603	237	24	21	4	
602	266	27	24	4	
600	296	25	25	4	
