32	46	673	389	6	
59	70	54	305	6	
75	117	3	29	5	
87	118	2	30	5	
97	119	2	37	5	
79	304	23	26	2	
130	82	53	54	6	
145	96	21	27	3	
125	149	30	127	6	
136	190	13	14	4	
135	213	14	15	4	
134	234	15	18	4	
161	154	36	214	6	
175	230	14	15	4	
175	255	15	18	4	
175	281	16	19	4	
41	411	141	8	1	
210	79	35	34	6	
218	87	13	17	3	
213	131	31	120	6	
221	155	16	15	4	
222	181	15	17	4	
220	206	17	16	4	
260	93	33	37	6	
269	104	16	18	3	
262	151	32	166	6	
272	204	16	16	4	
270	230	18	17	4	
267	255	20	20	4	
316	94	35	39	6	
325	104	12	20	3	
316	156	35	160	6	
328	207	15	14	4	
326	230	16	18	4	
325	254	17	21	4	
366	90	28	158	6	
373	123	17	17	4	
372	163	17	21	4	
375	203	15	17	4	
403	92	35	39	6	
412	102	12	20	3	
400	167	36	152	6	
413	217	15	18	4	
412	247	16	21	4	
410	275	17	20	4	
453	94	31	39	6	
462	106	13	18	3	
444	161	38	166	6	
458	223	14	15	4	
457	246	15	20	4	
458	271	14	16	4	
494	100	32	37	6	
503	111	16	18	3	
494	164	32	163	6	
504	223	16	16	4	
503	246	16	16	4	
504	273	15	15	4	
538	105	29	34	6	
544	115	11	15	3	
531	168	37	164	6	
545	226	17	16	4	
546	249	16	14	4	
545	267	15	18	4	
582	99	25	145	6	
587	140	14	13	4	
587	163	16	16	4	
587	185	16	12	4	
618	101	34	39	6	
627	113	13	18	3	
611	173	41	152	6	
623	217	19	15	4	
622	240	20	19	4	
623	264	16	17	4	
628	357	49	53	6	
638	375	25	22	2	
