29	23	614	358	6	
56	49	46	46	6	
68	63	18	21	3	
46	110	26	84	6	
55	126	14	14	4	
57	145	12	16	4	
57	163	12	16	4	
83	107	25	87	6	
92	129	12	13	4	
92	146	12	15	4	
93	163	11	14	4	
124	59	31	83	6	
132	83	15	12	4	
133	99	12	14	4	
133	114	15	15	4	
126	287	29	29	6	
135	298	11	10	2	
167	62	27	84	6	
176	78	14	14	4	
178	97	12	16	4	
178	115	12	16	4	
173	237	22	113	6	
179	259	13	12	4	
179	279	12	15	4	
180	296	9	11	2	
184	314	2	22	5	
210	62	28	103	6	
219	87	14	16	4	
220	109	13	18	4	
219	131	14	17	4	
256	62	29	31	6	
266	73	12	13	2	
258	143	27	31	6	
268	155	12	12	2	
255	226	29	31	6	
265	237	12	13	2	
256	297	28	31	6	
266	309	12	12	2	
296	60	26	97	6	
304	84	13	15	4	
304	103	13	16	4	
303	122	14	15	4	
337	63	24	108	6	
346	89	11	12	4	
344	106	13	19	4	
343	126	14	17	4	
337	234	23	108	6	
343	255	13	12	4	
343	274	12	14	4	
344	290	9	11	2	
348	307	2	22	5	
372	64	26	101	6	
377	89	14	13	4	
379	106	12	17	4	
378	125	13	15	4	
376	239	22	101	6	
381	259	14	12	4	
381	277	13	13	4	
383	292	9	10	2	
387	308	2	20	5	
405	69	24	93	6	
412	93	12	11	4	
411	110	13	19	4	
412	130	12	14	4	
406	231	24	109	6	
412	252	15	12	4	
412	272	14	14	4	
413	288	10	11	2	
418	305	2	22	5	
439	69	26	94	6	
446	93	13	13	4	
446	111	13	19	4	
445	132	14	16	4	
445	240	22	101	6	
450	260	14	12	4	
450	278	13	13	4	
452	293	9	10	2	
456	309	2	20	5	
479	65	25	119	6	
485	91	14	15	4	
485	116	14	18	4	
484	139	15	16	4	
517	71	26	80	6	
526	88	13	12	4	
526	104	13	15	4	
523	125	16	13	4	
551	69	55	251	6	
564	149	28	30	4	
567	199	27	24	4	
567	231	29	29	4	
